,ISBN,條碼號
1278,9575145038,1
1279,9575145046,1
1280,9575145054,1
1281,9575145062,1
1282,9575145070,1
1283,9575145089,1
1284,9575145097,1
1285,9575145100,1
1286,9575145119,1
1287,9575145127,1
1288,9575145135,1
1289,9575145143,1
1290,9575145151,1
1291,957514516X,1
1292,9575145178,1
1293,9575145186,1
1294,9575145194,1
1295,9575145208,1
1296,9575145216,1
1297,9575145224,1
1298,9575145232,1
1299,9575145240,1
1300,9575145259,1
1301,9575145267,1
1302,9575145275,1
1303,9575145283,1
1304,9575145291,1
1305,9575145305,1
1306,9575145313,1
1307,9575145321,1
1308,957514533X,1
1309,9575145348,1
1310,9575145356,1
1311,9575145364,1
1312,9575145372,1
1313,9575145380,1
1314,9575145399,1
1315,9575145402,1
1316,9575145410,1
1317,9575145429,1
1318,9575145437,1
1319,9575145445,1
1320,9575145453,1
1321,9575145461,1
1322,957514547X,1
1323,9575145488,1
1324,9575145496,1
1325,957514550X,1
1326,9575145518,1
1327,9575145526,1
1328,9575145534,1
1329,9575145542,1
1330,9575145550,1
1331,9575145569,1
1332,9575145577,1
1333,9575145585,1
1334,9575145593,1
1335,9575145607,1
1336,9575145615,1
1337,9575145623,1
1338,9575145631,1
1339,957514564X,1
1340,9575145658,1
1341,9575145666,2
1342,9575179722,1
1343,957519327x,1
1344,9575224175,1
1345,9575231872,1
1346,9575232305,2
1347,9575232437,1
1348,9575232443,1
1349,9575232450,1
1350,9575232467,1
1351,9575232474,1
1352,9575232481,1
1353,9575232498,1
1354,9575232504,1
1355,9575232542,1
1356,9575298837,1
1357,9575302141,1
1358,9575308999,1
1359,9575350650,1
1360,9575356799,1
1361,9575356810,1
1362,9575356829,1
1363,9575430956,2
1364,957543112X,1
1365,9575431804,2
1366,9575433734,2
1367,9575433793,2
1368,9575433807,2
1369,9575433815,2
1370,9575433823,2
1371,9575433831,2
1372,957543384X,2
1373,9575433955,2
1374,9575433971,3
1375,9575435605,2
1376,9575437756,1
1377,957543871X,1
1378,9575439023,2
1379,9575439058,1
1380,9575439155,2
1381,9575439163,2
1382,9575439171,2
1383,957543918X,2
1384,9575439228,2
1385,9575439236,2
1386,9575439244,2
1387,9575439252,2
1388,9575439260,2
1389,9575439279,2
1390,9575439287,2
1391,9575439295,2
1392,9575439309,2
1393,9575439317,2
1394,9575439325,2
1395,9575439333,2
1396,9575439341,2
1397,957543935X,2
1398,9575439368,2
1399,9575439376,2
1400,9575439384,2
1401,9575439392,2
1402,9575439406,2
1403,9575439414,2
1404,9575439473,2
1405,957543949X,2
1406,9575439503,2
1407,9575439627,2
1408,9575457064,1
1409,9575516303,1
1410,957558547X,1
1411,9575585488,1
1412,9575585496,2
1413,957558550X,1
1414,9575585518,1
1415,9575585526,2
1416,9575586085,1
1417,9575586468,1
1418,9575586476,1
1419,9575586484,1
1420,9575586492,2
1421,9575586506,1
1422,9575586514,1
1423,9575586883,1
1424,9575586891,1
1425,9575586905,1
1426,9575586913,2
1427,9575586921,2
1428,957558693X,2
1429,9575586948,1
1430,9575587928,2
1431,9575587936,2
1432,9575587944,1
1433,9575587952,2
1434,9575588711,1
1435,957558872x,1
1436,9575588738,1
1437,9575588746,1
1438,9575588819,2
1439,9575588827,2
1440,9575588835,2
1441,9575588843,2
1442,9575588851,3
1443,957558886X,2
1444,9575588878,1
1445,9575588886,1
1446,9575589157,2
1447,9575589165,2
1448,9575589173,2
1449,9575589181,2
1450,957558919X,2
1451,9575589203,2
1452,9575589297,1
1453,9575589300,2
1454,9575589327,1
1455,9575589335,1
1456,9575589645,1
1457,9575589653,1
1458,9575589661,1
1459,957558967X,1
1460,9575589718,10
1461,9575608631,3
1462,9575608992,2
1463,9575701119,1
1464,9575701186,1
1465,9575701194,1
1466,9575701208,1
1467,9575703340,1
1468,9575703847,1
1469,9575704363,1
1470,9575704371,1
